date,PortfolioValue
2010-01-04,1000000.0
2010-01-05,1000000.0
2010-01-06,1000000.0
2010-01-07,1000000.0
2010-01-08,1000000.0
2010-01-11,1000000.0
2010-01-12,1000000.0
2010-01-13,1000000.0
2010-01-14,1000000.0
2010-01-15,1000000.0
2010-01-18,1000000.0
2010-01-19,1000000.0
2010-01-20,1000000.0
2010-01-21,1000000.0
2010-01-22,1000000.0
2010-01-25,1000000.0
2010-01-27,1000000.0
2010-01-28,1000000.0
2010-01-29,1000000.0
2010-02-01,1000000.0
2010-02-02,1000000.0
2010-02-03,1000000.0
2010-02-04,1000000.0
2010-02-05,1000000.0
2010-02-08,1000000.0
2010-02-09,1000000.0
2010-02-10,1000000.0
2010-02-11,1000000.0
2010-02-15,1000000.0
2010-02-16,1000000.0
2010-02-17,1002628.7743397435
2010-02-18,1015474.4960465787
2010-02-19,1014538.5887100982
2010-02-22,1024755.9162913366
2010-02-23,1019703.0138425854
2010-02-24,1019703.0138425854
2010-02-25,1019703.0138425854
2010-02-26,1043185.7747523165
2010-03-02,1063481.3093425978
2010-03-03,1080990.7511763943
2010-03-04,1074539.188185767
2010-03-05,1082200.6853842633
2010-03-08,1082200.6853842633
2010-03-09,1082200.6853842633
2010-03-10,1082200.6853842633
2010-03-11,1082200.6853842633
2010-03-12,1082200.6853842633
2010-03-15,1082200.6853842633
2010-03-16,1082200.6853842633
2010-03-17,1082200.6853842633
2010-03-18,1082200.6853842633
2010-03-19,1082200.6853842633
2010-03-22,1082200.6853842633
2010-03-23,1082200.6853842633
2010-03-25,1082200.6853842633
2010-03-26,1082200.6853842633
2010-03-29,1082200.6853842633
2010-03-30,1082200.6853842633
2010-03-31,1082200.6853842633
2010-04-01,1082200.6853842633
2010-04-05,1082200.6853842633
2010-04-06,1082200.6853842633
2010-04-07,1082200.6853842633
2010-04-08,1082200.6853842633
2010-04-09,1082200.6853842633
2010-04-12,1082200.6853842633
2010-04-13,1082200.6853842633
2010-04-15,1082200.6853842633
2010-04-16,1082200.6853842633
2010-04-19,1082200.6853842633
2010-04-20,1082200.6853842633
2010-04-21,1082200.6853842633
2010-04-22,1082200.6853842633
2010-04-23,1082200.6853842633
2010-04-26,1082200.6853842633
2010-04-27,1082200.6853842633
2010-04-28,1082200.6853842633
2010-04-29,1082200.6853842633
2010-04-30,1082200.6853842633
2010-05-03,1082200.6853842633
2010-05-04,1082200.6853842633
2010-05-05,1082200.6853842633
2010-05-06,1082200.6853842633
2010-05-07,1082200.6853842633
2010-05-10,1082200.6853842633
2010-05-11,1082200.6853842633
2010-05-12,1082200.6853842633
2010-05-13,1093830.0124614595
2010-05-14,1073895.715428915
2010-05-17,1090502.7911892843
2010-05-18,1082346.979959173
2010-05-19,1082346.979959173
2010-05-20,1082346.979959173
2010-05-21,1082346.979959173
2010-05-24,1082346.979959173
2010-05-25,1082346.979959173
2010-05-26,1082346.979959173
2010-05-27,1082346.979959173
2010-05-28,1082346.979959173
2010-05-31,1082346.979959173
2010-06-01,1082346.979959173
2010-06-02,1082346.979959173
2010-06-03,1082346.979959173
2010-06-04,1082346.979959173
2010-06-07,1082346.979959173
2010-06-08,1082346.979959173
2010-06-09,1082346.979959173
2010-06-10,1082346.979959173
2010-06-11,1082346.979959173
2010-06-14,1082346.979959173
2010-06-15,1082346.979959173
2010-06-16,1082346.979959173
2010-06-17,1082346.979959173
2010-06-18,1082346.979959173
2010-06-21,1082346.979959173
2010-06-22,1082346.979959173
2010-06-23,1082346.979959173
2010-06-24,1082346.979959173
2010-06-25,1082346.979959173
2010-06-28,1082346.979959173
2010-06-29,1082346.979959173
2010-06-30,1082346.979959173
2010-07-01,1082346.979959173
2010-07-02,1082346.979959173
2010-07-05,1082346.979959173
2010-07-06,1082346.979959173
2010-07-07,1082346.979959173
2010-07-08,1082346.979959173
2010-07-09,1082346.979959173
2010-07-12,1082346.979959173
2010-07-13,1082346.979959173
2010-07-14,1082346.979959173
2010-07-15,1082346.979959173
2010-07-16,1119802.226052401
2010-07-19,1117429.8371396924
2010-07-20,1119258.2808666811
2010-07-21,1156365.0280932314
2010-07-22,1135886.3455939442
2010-07-23,1135886.3455939442
2010-07-26,1135886.3455939442
2010-07-27,1135886.3455939442
2010-07-28,1135886.3455939442
2010-07-29,1135886.3455939442
2010-07-30,1135886.3455939442
2010-08-02,1135886.3455939442
2010-08-03,1145173.7827351207
2010-08-04,1175650.8430685073
2010-08-05,1169747.8132095141
2010-08-06,1156721.8112939969
2010-08-09,1156721.8112939969
2010-08-10,1156721.8112939969
2010-08-11,1156721.8112939969
2010-08-12,1156721.8112939969
2010-08-13,1156721.8112939969
2010-08-16,1156721.8112939969
2010-08-17,1156721.8112939969
2010-08-18,1156721.8112939969
2010-08-19,1156721.8112939969
2010-08-20,1170635.335755046
2010-08-23,1170846.631202572
2010-08-24,1156454.166152975
2010-08-25,1139076.429015581
2010-08-26,1139789.3465219114
2010-08-27,1139789.3465219114
2010-08-30,1139789.3465219114
2010-08-31,1139789.3465219114
2010-09-01,1139789.3465219114
2010-09-02,1139789.3465219114
2010-09-03,1139789.3465219114
2010-09-06,1139789.3465219114
2010-09-07,1139789.3465219114
2010-09-08,1139789.3465219114
2010-09-09,1139789.3465219114
2010-09-13,1157096.631425739
2010-09-14,1168962.351545939
2010-09-15,1163750.3511569165
2010-09-16,1160370.8094694298
2010-09-17,1164567.1150840411
2010-09-20,1160529.736457788
2010-09-21,1173634.787320187
2010-09-22,1178394.3246618826
2010-09-23,1193433.4868272543
2010-09-24,1191554.4420501485
2010-09-27,1201233.2415429126
2010-09-28,1205371.4794729843
2010-09-29,1198793.198858055
2010-09-30,1214553.2093899006
2010-10-01,1249055.7403437064
2010-10-04,1260897.8269452935
2010-10-05,1286837.0735778802
2010-10-06,1300147.402307952
2010-10-07,1300147.402307952
2010-10-08,1300147.402307952
2010-10-11,1300147.402307952
2010-10-12,1300147.402307952
2010-10-13,1355490.7677889208
2010-10-14,1347262.5737452735
2010-10-15,1340441.8512395658
2010-10-18,1355694.3270306864
2010-10-19,1350613.6554632448
2010-10-20,1342738.7585180749
2010-10-21,1330600.852877519
2010-10-22,1346459.4009101728
2010-10-25,1335619.3000091077
2010-10-26,1335619.3000091077
2010-10-27,1335619.3000091077
2010-10-28,1335619.3000091077
2010-10-29,1335619.3000091077
2010-11-01,1335619.3000091077
2010-11-02,1335619.3000091077
2010-11-03,1335619.3000091077
2010-11-04,1335619.3000091077
2010-11-08,1335619.3000091077
2010-11-09,1335619.3000091077
2010-11-10,1335619.3000091077
2010-11-11,1335619.3000091077
2010-11-12,1335619.3000091077
2010-11-15,1335619.3000091077
2010-11-16,1335619.3000091077
2010-11-18,1335619.3000091077
2010-11-19,1335619.3000091077
2010-11-22,1335619.3000091077
2010-11-23,1335619.3000091077
2010-11-24,1335619.3000091077
2010-11-25,1335619.3000091077
2010-11-26,1335619.3000091077
2010-11-29,1335619.3000091077
2010-11-30,1335619.3000091077
2010-12-01,1335619.3000091077
2010-12-02,1335619.3000091077
2010-12-03,1335619.3000091077
2010-12-06,1335619.3000091077
2010-12-07,1335619.3000091077
2010-12-08,1335619.3000091077
2010-12-09,1335619.3000091077
2010-12-10,1335619.3000091077
2010-12-13,1335619.3000091077
2010-12-14,1335619.3000091077
2010-12-15,1335619.3000091077
2010-12-16,1335619.3000091077
2010-12-20,1335619.3000091077
2010-12-21,1335619.3000091077
2010-12-22,1335619.3000091077
2010-12-23,1335619.3000091077
2010-12-24,1335619.3000091077
2010-12-27,1335619.3000091077
2010-12-28,1335619.3000091077
2010-12-29,1335619.3000091077
2010-12-30,1335619.3000091077
2010-12-31,1335619.3000091077
2011-01-03,1335619.3000091077
2011-01-04,1335619.3000091077
2011-01-05,1335619.3000091077
2011-01-06,1335619.3000091077
2011-01-07,1335619.3000091077
2011-01-10,1335619.3000091077
2011-01-11,1335619.3000091077
2011-01-12,1335619.3000091077
2011-01-13,1335619.3000091077
2011-01-14,1335619.3000091077
2011-01-17,1335619.3000091077
2011-01-18,1335619.3000091077
2011-01-19,1335619.3000091077
2011-01-20,1335619.3000091077
2011-01-21,1335619.3000091077
2011-01-24,1335619.3000091077
2011-01-25,1335619.3000091077
2011-01-27,1335619.3000091077
2011-01-28,1335619.3000091077
2011-01-31,1335619.3000091077
2011-02-01,1335619.3000091077
2011-02-02,1335619.3000091077
2011-02-03,1335619.3000091077
2011-02-04,1335619.3000091077
2011-02-07,1335619.3000091077
2011-02-08,1335619.3000091077
2011-02-09,1335619.3000091077
2011-02-10,1335619.3000091077
2011-02-11,1335619.3000091077
2011-02-14,1335619.3000091077
2011-02-15,1335619.3000091077
2011-02-16,1335619.3000091077
2011-02-17,1335619.3000091077
2011-02-18,1335619.3000091077
2011-02-21,1335619.3000091077
2011-02-22,1335619.3000091077
2011-02-23,1335619.3000091077
2011-02-24,1335619.3000091077
2011-02-25,1335619.3000091077
2011-02-28,1335619.3000091077
2011-03-01,1335619.3000091077
2011-03-03,1335619.3000091077
2011-03-04,1335619.3000091077
2011-03-07,1335619.3000091077
2011-03-08,1335619.3000091077
2011-03-09,1335619.3000091077
2011-03-10,1335619.3000091077
2011-03-11,1335619.3000091077
2011-03-14,1335619.3000091077
2011-03-15,1335619.3000091077
2011-03-16,1335619.3000091077
2011-03-17,1335619.3000091077
2011-03-18,1335619.3000091077
2011-03-21,1335619.3000091077
2011-03-22,1335619.3000091077
2011-03-23,1335619.3000091077
2011-03-24,1335619.3000091077
2011-03-25,1335619.3000091077
2011-03-28,1335619.3000091077
2011-03-29,1335619.3000091077
2011-03-30,1335619.3000091077
2011-03-31,1335619.3000091077
2011-04-01,1335619.3000091077
2011-04-04,1335619.3000091077
2011-04-05,1335619.3000091077
2011-04-06,1335619.3000091077
2011-04-07,1335619.3000091077
2011-04-08,1335619.3000091077
2011-04-11,1335619.3000091077
2011-04-13,1335619.3000091077
2011-04-15,1335619.3000091077
2011-04-18,1335619.3000091077
2011-04-19,1335619.3000091077
2011-04-20,1335619.3000091077
2011-04-21,1335619.3000091077
2011-04-25,1335619.3000091077
2011-04-26,1335619.3000091077
2011-04-27,1335619.3000091077
2011-04-28,1335619.3000091077
2011-04-29,1335619.3000091077
2011-05-02,1335619.3000091077
2011-05-03,1335619.3000091077
2011-05-04,1335619.3000091077
2011-05-05,1335619.3000091077
2011-05-06,1335619.3000091077
2011-05-09,1335619.3000091077
2011-05-10,1335619.3000091077
2011-05-11,1335619.3000091077
2011-05-12,1335619.3000091077
2011-05-13,1335619.3000091077
2011-05-16,1335619.3000091077
2011-05-17,1335619.3000091077
2011-05-18,1335619.3000091077
2011-05-19,1335619.3000091077
2011-05-20,1335619.3000091077
2011-05-23,1335619.3000091077
2011-05-24,1335619.3000091077
2011-05-25,1335619.3000091077
2011-05-26,1335619.3000091077
2011-05-27,1335619.3000091077
2011-05-30,1335619.3000091077
2011-05-31,1335619.3000091077
2011-06-01,1335619.3000091077
2011-06-02,1335619.3000091077
2011-06-03,1335619.3000091077
2011-06-06,1335619.3000091077
2011-06-07,1335619.3000091077
2011-06-08,1335619.3000091077
2011-06-09,1335619.3000091077
2011-06-10,1335619.3000091077
2011-06-13,1335619.3000091077
2011-06-14,1335619.3000091077
2011-06-15,1335619.3000091077
2011-06-16,1335619.3000091077
2011-06-17,1335619.3000091077
2011-06-20,1335619.3000091077
2011-06-21,1335619.3000091077
2011-06-22,1335619.3000091077
2011-06-23,1335619.3000091077
2011-06-24,1335619.3000091077
2011-06-27,1335619.3000091077
2011-06-28,1335619.3000091077
2011-06-29,1335619.3000091077
2011-06-30,1335619.3000091077
2011-07-01,1335619.3000091077
2011-07-04,1335619.3000091077
2011-07-05,1335619.3000091077
2011-07-06,1335619.3000091077
2011-07-07,1335619.3000091077
2011-07-08,1335619.3000091077
2011-07-11,1335619.3000091077
2011-07-12,1335619.3000091077
2011-07-13,1406927.35418284
2011-07-14,1415563.0573987754
2011-07-15,1439671.6908738913
2011-07-18,1431697.9494964313
2011-07-19,1437844.5474181233
2011-07-20,1492026.8074823539
2011-07-21,1481096.380643868
2011-07-22,1487002.2305515988
2011-07-25,1492420.9902572462
2011-07-26,1489031.4251012271
2011-07-27,1500423.182356855
2011-07-28,1464102.6218775632
2011-07-29,1464102.6218775632
2011-08-01,1464102.6218775632
2011-08-02,1464102.6218775632
2011-08-03,1464102.6218775632
2011-08-04,1464102.6218775632
2011-08-05,1464102.6218775632
2011-08-08,1464102.6218775632
2011-08-09,1464102.6218775632
2011-08-10,1464102.6218775632
